address1,address2,applcbedt,applcendt,areano,buldmgtno1,buldmgtno2,buldnm,buldprpos,divgroundfloorcnt,divundgrndfloorcnt,elevatorno,elvtrasignno,elvtrdivnm,elvtrformnm,elvtrkindnm,elvtrmgtno1,elvtrmgtno2,elvtrmodel,elvtrresmptde,elvtrstts,frstinstallationde,inspctinstt,installationde,installationplace,lastinspctde,lastinspctkind,lastresultnm,liveload,manufacturername,manufacturertelno,mnfcturcpnycd,mntcpnycd,mntcpnynm,mntcpnytelno,partcpntnm,partcpnttelno,ratedspeed,shuttlefloorcnt,sigungucd,standardkey,zipcd1,zipcd2
서울특별시 은평구 통일로82길 6,(불광동),2019-11-02,2020-11-01,01,122,474,쉴모텔,숙박시설-숙박시설,4,0,0069635,1,엘리베이터,권상식-VVVF,승객용,122,1043,확인불가,--,운행중,2002-11-04,한국승강기안전공단 서울서부지사,2002-11-04,1-1,2019-11-08,정기,조건부합격,450 Kg,(주)진양엘리베이터,031--298-7611~2,919940814,920090045,(주)광원엘리베이터,02--835-2514,이병하,(02)388-0***,1 m/min,4,122,8,033,44
서울특별시 은평구 진관1로 77-8,(진관동),2019-04-24,2020-04-23,01,122,1164,은평뉴타운폭포동(1관리소),공동주택-분양,18,2,0040238,8,엘리베이터,권상식-VVVF,소방구조/장애인용,122,2810,SSVF5,--,운행중,2009-09-25,한국승강기안전공단 서울서부지사,2009-09-25,407-1,2019-08-22,정기,조건후합격,1000 Kg,현대엘리베이터(주),02--3670-0791,919920035,919930409,현대엘리베이터(주)서울사무소,02--3670-0987,관리소장,02-358-6***,1.75 m/min,20,122,3,033,10
서울특별시 은평구 응암로25길 12-7,(응암동),2019-04-25,2020-04-24,01,122,2456,대림에코빌,공동주택-분양,6,0,0089131,1,엘리베이터,권상식-VVVF,승객용,122,5036,TK-50CS,--,운행중,2016-04-25,한국승강기안전공단 서울서부지사,2016-04-25,1-1,2019-05-03,정기,합격,550 Kg,티센크루프엘리베이터코리아(주),02--2610-7777,919920034,919950932,티센크루프엘리베이터코리아(주),02--2610-7777,승강기담당,010-7723-9***,1 m/min,6,122,3,034,55
서울특별시 은평구 서오릉로4길 10,(녹번동),2019-03-15,2020-03-14,01,122,1102,성암교회,종교시설-종교시설,4,1,0129015,2,엘리베이터,권상식-VVVF,승객용,122,5988,SK-HLMRL,--,운행중,2018-03-15,한국승강기안전공단 서울서부지사,2018-03-15,1-2,2019-04-17,정기,조건후합격,900 Kg,신광엘리베이터(주),02--409-6134-5,919951036,919990009,(주)한신승강기,031--917-3260,승강기담당자(조대화),010-4181-5***,1 m/min,5,122,3,033,80
서울특별시 은평구 은평로 111,(응암동),2019-08-17,2020-08-16,01,122,369,이마트은평점,판매시설-기타,10,8,1806126,36,무빙워크,팔레트식-,무빙워크,122,2863,FS883 5EK,--,운행중,2009-10-16,한국승강기안전공단 서울서부지사,2009-10-16,MW-26,2019-09-22,정기,조건부합격,,티센크루프엘리베이터코리아(주),02--2610-7777,919920034,919950932,티센크루프엘리베이터코리아(주),02--2610-7777,하덕호,(02)380-1***,.5 m/min,4.6,122,99,034,61
서울특별시 은평구 가좌로9길 7-1,(응암동),2019-06-18,2020-06-17,01,122,1271,이안쉐르빌,제2종근린생활시설-기타,7,0,0041798,1,엘리베이터,권상식-VVVF,승객용,122,3250,STVF-7,--,운행중,2010-06-18,한국승강기안전공단 서울서부지사,2010-06-18,1-1,2019-07-11,정기,합격,550 Kg,현대엘리베이터(주),02--3670-0791,919920035,919930409,현대엘리베이터(주)서울사무소,02--3670-0987,승강기 담당자,010-3395-9***,1 m/min,7,122,3,034,84
서울특별시 은평구 연서로 137,(구산동),2019-11-18,2020-11-17,01,122,116,영진빌딩,제2종근린생활시설-기타,5,1,0074076,1,엘리베이터,권상식-VVVF,승객용,122,161,GM1,--,운행중,1992-09-01,한국승강기안전공단 서울서부지사,2014-11-18,1-1,2019-11-20,정기,조건부합격,750 Kg,오티스엘리베이터(유)서울,02--2007-5800,919920075,920170052,보성엘리베이터(주),031--451-6464,관리소장 (박수용),010-3727-9***,1 m/min,6,122,3,034,12
서울특별시 은평구 통일로65길 24,(대조동),2018-12-09,2019-12-08,01,122,317,티파니모텔,숙박시설-숙박시설,5,0,0102688,1,엘리베이터,권상식-VVVF,승객용,122,581,확인불가,--,운행중,2000-11-21,한국승강기안전공단 서울서부지사,2000-11-21,1-1,2018-12-31,정기,조건부합격,450 Kg,(주)미성엘리베이터,02--866-6678,919930134,920010047,(주)동명엘리베이터,031--413-2880,승강기 담당자,02-387-8***,1 m/min,5,122,20,033,97
서울특별시 은평구 갈현로15길 27-3,(구산동),2018-12-28,2019-12-27,01,122,1540,구산동리더스빌2차,공동주택-분양,5,0,0080954,1,엘리베이터,권상식-VVVF,승객용,122,3802,SSVF7,--,운행중,2011-12-28,한국승강기안전공단 서울서부지사,2011-12-28,1-1,2018-12-31,정기,조건부합격,600 Kg,현대엘리베이터(주),02--3670-0791,919920035,920010024,승우엘레텍(주),02--2642-2893,구형섭,010-4312-9***,1 m/min,5,122,3,034,28
서울특별시 은평구 가좌로 391,(신사동),20191023,20200122,01,122,170,신사씨티아파트,공동주택-분양,20,0,0039033,1,엘리베이터,권상식-VVVF,소방구조용,122,27,확인불가,--,운행중,1993-06-01,한국승강기안전공단 서울서부지사,1993-06-01,101-1,2019-10-23,정기,조건부합격,900 Kg,티센크루프엘리베이터코리아(주),02--2610-7777,919920034,919920034,티센크루프엘리베이터코리아(주),02--2610-7777,관리소장,***,1.5 m/min,20,122,12,034,34
서울특별시 은평구 갈현로5길 32,(신사동),2019-02-04,2020-02-03,01,122,925,한국빌딩,제1종근린생활시설-기타,4,0,0040401,1,엘리베이터,권상식-VVVF,승객용,122,1823,VVVF,--,운행중,2006-01-17,한국승강기안전공단 서울서부지사,2006-01-17,1-1,2019-03-12,정기,조건부합격,550 Kg,(주)상아엘리베이터 - 폐업,032--529-8551,919971207,920120041,(주)에스엠엘리베이터,032--549-3100,승강기 담당,(02)353-1***,1 m/min,4,122,13,034,32
서울특별시 은평구 은평로 97,(응암동),2019-11-28,2020-05-27,01,122,10,동아빌딩,제2종근린생활시설-기타,5,1,0050005,2,엘리베이터,유압식-교류,자동차용,122,158,확인불가,--,운행중,1991-06-11,한국승강기안전공단 서울서부지사,1991-06-11,1-2,2019-11-20,정기,합격,2000 Kg,한국오티스엘리베이터(주) ,041--356-1181-6,919920055,919930409,현대엘리베이터(주)서울사무소,02--3670-0987,윤창노,010-7688-2***,.33 m/min,2,122,20,034,61
서울특별시 은평구 통일로 873,(갈현동),2019-04-11,2020-04-10,01,122,102,청구성심병원,의료시설-기타,8,1,0006427,1,엘리베이터,권상식-VVVF,침대용,122,3563,TK-55G,--,운행중,1993-08-20,한국승강기안전공단 서울서부지사,2011-04-19,1-1,2019-05-09,정기,조건후합격,1350 Kg,티센크루프엘리베이터코리아(주),02--2610-7777,919920034,919950932,티센크루프엘리베이터코리아(주),02--2610-7777,김해용,(02)385-5***,1 m/min,8,122,3,033,30
서울특별시 은평구 응암로21가길 12,(응암동),2019-09-25,2020-09-24,01,122,17,진성빌딩,제2종근린생활시설-기타,6,0,0015220,1,엘리베이터,권상식-교류,승객용,122,256,확인불가,--,운행중,1995-06-01,한국승강기안전공단 서울서부지사,1995-06-01,1-1,2019-10-02,정기,조건부합격,450 Kg,(주)뉴텍엘리베이터,02--2606-2462,919930214,919951027,(주)우성아이디에스엘리베이터,02--2631-4400,이명연,010-2439-2***,1 m/min,6,122,9,034,56
서울특별시 은평구 갈현로31길 14-8,"(갈현동, 첼라넥스빌)",20191128,20191227,01,122,1851,갈현동첼라넥스빌,제2종근린생활시설-기타,5,0,0104713,1,엘리베이터,권상식-VVVF,승객용,122,4238,TK-50CS,--,운행중,2014-02-26,한국승강기안전공단 서울서부지사,2014-02-26,1-1,2019-11-28,정기,조건부합격,630 Kg,티센크루프엘리베이터코리아(주),02--2610-7777,919920034,919950932,티센크루프엘리베이터코리아(주),02--2610-7777,승강기담당(전은정),***,1 m/min,5,122,3,033,21
서울특별시 은평구 연서로29길 8-8,(갈현동),2019-02-26,2020-02-25,01,122,977,인락빌딩,제2종근린생활시설-기타,7,3,0002669,1,엘리베이터,권상식-VVVF,장애인용,122,1911,MS-3000S,--,운행중,2006-12-18,한국승강기안전공단 서울서부지사,2006-12-18,1-1,2019-04-25,정기,조건후합격,750 Kg,코네엘리베이터코리아(주)-폐업,032--524-7430,919940822,920050029,(주)우주엘리베이터,02--2671-8690,이창배,02-352-1***,1.5 m/min,10,122,3,033,30
서울특별시 은평구 은평로 133,(응암동),2019-06-16,2020-06-15,01,122,8,본서부병원,의료시설-기타,7,1,0015405,1,엘리베이터,권상식-VVVF,침대용,122,1731,Di1,--,운행중,1973-09-30,한국승강기안전공단 서울서부지사,2005-06-08,1-1,2019-08-01,정기,조건후합격,750 Kg,오티스엘리베이터(유)창원공장,055--289-8235,919990124,919920075,오티스엘리베이터(유)서울,02--2007-5800,강준근,02-3156-1***,.5 m/min,7,122,4,034,60
서울특별시 은평구 통일로 1050, (진관동),2019-11-08,2020-11-07,01,122,2487,롯데몰 은평점,판매시설-백화점,9,2,1810409,86,무빙워크,팔레트식-,무빙워크,122,5454,GS8100-NX(412),--,운행중,2016-11-08,한국승강기안전공단 서울서부지사,2016-11-08,마트외부-11,2019-12-05,정기,합격,,후지테크코리아(주),032--817-7541,919920056,920150038,후지테크코리아(주) 서울,02--715-9321,신동국(총괄매니저),010-7591-2***,.5 m/min,6.3,122,,033,06
서울특별시 은평구 갈현로23길 41,(갈현동),2019-06-08,2020-06-07,01,122,215,갈현동한솔아파트,공동주택-분양,11,1,0070171,1,엘리베이터,권상식-VVVF,승객화물용,122,399,CV-60,--,운행중,1997-07-24,한국승강기안전공단 서울서부지사,1997-07-24,101-1,2019-07-12,정기,조건부합격,900 Kg,동양중공업(주),031--498-7777,919930173,919990102,신한엘리베이터(주),031--917-4796,관리소장,(02)353-3***,1 m/min,12,122,11,033,26
서울특별시 은평구 은평로9길 3-5,(응암동),2019-09-01,2020-08-31,01,122,1098,아뜨리에빌,공동주택-분양,7,0,0051630,1,엘리베이터,권상식-VVVF,승객용,122,2406,확인불가,--,운행중,2008-09-01,한국승강기안전공단 서울서부지사,2008-09-01,1-1,2019-09-09,정기,합격,450 Kg,(주)반도엘리베이터,02--2687-2165,919961054,919961073,나라엘리베이터안전관리,02--998-4980~1,나정애,010-4620-7***,1 m/min,6,122,8,034,61
서울특별시 은평구 진관1로 77-11,(진관동),2019-07-14,2020-07-13,01,122,1287,하나님의교회,종교시설-종교시설,5,1,0041360,1,엘리베이터,권상식-VVVF,장애인용,122,3272,Si1,--,운행중,2010-07-14,한국승강기안전공단 서울서부지사,2010-07-14,1-1,2019-07-11,정기,합격,1000 Kg,오티스엘리베이터(유)서울,02--2007-5800,919920075,919930343,대한엘리베이터안전관리,02--423-5857,승강기담당자,02-382-2***,1 m/min,6,122,3,033,10
서울특별시 은평구 연서로19길 16-7,(갈현동),2018-12-07,2019-12-06,01,122,460,행운아파트,공동주택-분양,6,1,0069664,1,엘리베이터,권상식-VVVF,승객용,122,993,STVF-4,--,운행중,2002-09-27,한국승강기안전공단 서울서부지사,2002-09-27,1-1,2019-01-31,정기,조건후합격,750 Kg,현대엘리베이터(주),02--3670-0791,919920035,919930409,현대엘리베이터(주)서울사무소,02--3670-0987,승강기담당자,011-745-5***,1 m/min,7,122,10,033,36
서울특별시 은평구 연서로48길 11,(진관동),2019-07-17,2020-07-16,01,122,1167,은평뉴타운 제각말 5-2관리소,공동주택-분양,9,2,0042081,29,엘리베이터,권상식-VVVF,장애인용,122,2941,SSVF5,--,운행중,2009-07-29,한국승강기안전공단 서울서부지사,2009-07-29,521-1,2019-08-27,정기,조건후합격,1000 Kg,현대엘리베이터(주),02--3670-0791,919920035,919930409,현대엘리베이터(주)서울사무소,02--3670-0987,관리소장 ( 최지연 ),02-358-8***,1.5 m/min,11,122,3,033,08
